,영화명,개봉일,관객수,배급사,장르,기사수,감독수상,감독파워,개봉이전_스크린수,개봉이전_상영횟수,개봉이전_관객수,개봉1일_스크린수,개봉1일_상영횟수,개봉1일_관객수,개봉2일_스크린수,개봉2일_상영횟수,개봉2일_관객수,개봉3일_스크린수,개봉3일_상영횟수,개봉3일_관객수,상영등급,기대지수,비기대지수,holiday,season
75,특종: 량첸살인기,20151022,616481,롯데쇼핑㈜롯데엔터테인먼트,스릴러,5544,3,0,34.0,120,"24,712",776,"3,626","64,516",767,"3,649","80,057",743,"3,522","127,138",15세 관람가,2717,440,0,3
76,서부전선,20150924,609063,롯데쇼핑㈜롯데엔터테인먼트,전쟁,6398,0,0,10.0,18,"4,899",499,"2,120","47,432",489,"2,155","48,953",495,"2,018","79,513",12세 관람가,4085,1098,0,3
77,헬머니,20150305,522929,(주)넥스트엔터테인먼트월드(NEW),코미디,3301,0,0,12.0,18,"3,904",368,"1,901","35,936",380,"1,968","40,055",422,"2,052","75,954",청소년 관람불가,6556,876,0,1
78,위험한 상견례 2,20150429,472693,"롯데쇼핑㈜롯데엔터테인먼트,(주)마인스 엔터테인먼트",멜로/로맨스,7415,0,0,13.0,28,"5,687",341,783,"16,506",422,"1,583","28,561",427,"1,497","47,817",15세 관람가,2757,779,0,1
79,순수의 시대,20150305,469891,씨제이이앤엠(주),사극,10096,2,0,23.0,51,"10,127",512,"2,569","61,795",523,"2,648","59,611",546,"2,782","108,423",청소년 관람불가,7092,1436,0,1
80,오피스,20150903,441208,(주)리틀빅픽쳐스,스릴러,214023,3,0,14.0,70,"13,061",382,"1,842","46,567",409,"1,882","49,454",415,"1,854","84,900",15세 관람가,3593,510,0,3
81,"협녀, 칼의 기억",20150813,431310,롯데쇼핑㈜롯데엔터테인먼트,사극,10491,7,0,11.0,28,"6,453",572,"2,679","79,801",562,"2,410","96,717",498,"1,893","88,403",15세 관람가,5465,5503,1,2
82,무뢰한,20150527,414641,CGV아트하우스,멜로/로맨스,14066,8,0,21.0,46,"8,043",482,"2,281","50,014",474,"2,292","36,257",477,"2,320","41,949",청소년 관람불가,4059,553,0,1
83,내 심장을 쏴라,20150128,387409,"(주)리틀빅픽쳐스,(주)이수C&E",드라마,6833,0,0,8.0,21,"3,969",430,"2,191","60,407",422,"2,162","40,561",441,"2,229","43,565",15세 관람가,6860,759,1,4
84,소수의견,20150624,383582,(주)시네마서비스,드라마,14201,7,0,31.0,71,"16,758",378,"1,842","34,334",385,"1,762","25,161",394,"1,727","33,849",15세 관람가,5222,771,0,2
85,경성학교: 사라진 소녀들,20150618,356415,롯데쇼핑㈜롯데엔터테인먼트,미스터리,7048,13,3,6.0,11,"2,758",476,"2,406","53,657",470,"2,454","55,098",489,"2,486","83,336",15세 관람가,8640,1340,0,2
86,치외법권,20150827,346483,판씨네마(주),액션,6302,0,0,8.0,27,"5,650",405,"2,060","49,585",431,"2,059","46,596",446,"1,935","78,064",15세 관람가,3298,653,1,2
87,극적인 하룻밤,20151203,320884,CGV아트하우스,멜로/로맨스,7220,0,0,2.0,7,"1,362",386,"1,847","35,140",398,"1,891","35,249",434,"1,936","55,812",청소년 관람불가,2589,530,0,4
88,도리화가,20151125,317505,씨제이이앤엠(주),사극,11834,0,0,20.0,33,"6,760",544,"2,372","49,216",550,"2,333","34,219",563,"2,327","39,975",12세 관람가,12459,6309,0,3
89,함정,20150910,257990,(주)인벤트스톤,스릴러,16927,0,0,13.0,43,"9,178",359,"1,200","32,277",393,"1,300","39,065",445,"1,456","65,545",청소년 관람불가,2023,551,0,3
90,조선마술사,20151230,224657,롯데쇼핑㈜롯데엔터테인먼트,드라마,10861,11,0,9.0,16,"4,472",596,"2,437","115,456",583,"2,469","104,729",608,"2,319","145,065",12세 관람가,13233,1617,0,4
91,연애의 맛,20150507,214539,"(주)와우픽쳐스,(주)쇼박스",멜로/로맨스,11278,0,0,5.0,11,"2,385",390,"1,452","16,462",398,"1,469","20,694",397,"1,363","43,494",청소년 관람불가,1176,541,0,1
92,내부자들: 디 오리지널,20151231,160148,(주)쇼박스,범죄,3497,16,2,3.0,7,"1,082",595,"1,533","159,066",822,"2,088","247,992",837,"2,076","232,822",청소년 관람불가,0,0,0,4
93,은밀한 유혹,20150604,145547,씨제이이앤엠(주),멜로/로맨스,6834,0,0,12.0,14,"3,366",385,"1,956","21,742",394,"1,974","19,545",393,"1,926","28,714",15세 관람가,4687,738,0,2
94,나의 절친 악당들,20150625,133553,이십세기폭스코리아(주),범죄,5834,25,0,17.0,27,"3,776",384,"1,596","26,887",375,"1,496","20,823",364,"1,210","24,062",청소년 관람불가,1791,530,0,2
95,퇴마: 무녀굴,20150820,120802,씨네그루(주)다우기술,공포(호러),4891,5,0,8.0,20,"4,043",331,981,"21,790",327,951,"19,020",322,799,"24,276",15세 관람가,1993,453,1,2
96,돌연변이,20151022,100523,필라멘트픽쳐스,드라마,14361,0,0,8.0,26,"4,742",365,"1,089","10,379",378,"1,083","13,223",393,"1,020","26,989",12세 관람가,8894,1335,0,3
97,쓰리 썸머 나잇,20150715,77621,"(주)리틀빅픽쳐스,(주)인벤트스톤",코미디,4146,8,0,8.0,16,"3,243",297,945,"12,378",294,874,"10,407",295,835,"11,365",청소년 관람불가,2529,890,1,2
98,미안해 사랑해 고마워,20151028,51207,(주)쇼박스,드라마,3672,1,0,9.0,14,"3,985",333,935,"6,142",344,972,"7,072",341,931,"5,883",15세 관람가,1682,267,0,3
99,비밀,20151015,50196,CGV아트하우스,미스터리,337082,0,0,3.0,12,"1,959",305,791,"7,539",300,776,"8,950",302,716,"10,422",15세 관람가,2057,245,0,3
100,약장수,20150423,44214,"(주)대명문화공장,(주)나이너스엔터테인먼트",드라마,3157,1,0,6.0,14,"3,203",278,632,"4,006",282,666,"4,733",272,585,"7,468",15세 관람가,1262,267,0,1
101,타투,20151210,12102,와이드 릴리즈(주),스릴러,5260,1,0,1.0,2,517,81,163,"1,620",133,208,"1,889",132,190,"2,406",청소년 관람불가,2224,371,0,4
102,검은손,20150416,11650,(주)스톰픽쳐스코리아,공포(호러),10926,0,0,1.0,1,326,178,428,"2,126",174,430,"1,803",171,401,"2,176",청소년 관람불가,372,145,0,1
103,부산행,20160720,11565479,(주)넥스트엔터테인먼트월드(NEW),액션,38862,21,2,431.0,"2,698","565,286","1,571","8,831","872,673","1,613","9,092","663,365","1,667","9,501","738,823",15세 관람가,62952,8779,1,2
104,검사외전,20160203,9707581,(주)쇼박스,범죄,17261,0,1,20.0,48,"13,008","1,268","6,782","526,680","1,418","7,359","466,676","1,459","7,809","610,145",15세 관람가,46891,2492,1,4
105,밀정,20160907,7500420,워너브러더스 코리아(주),액션,22277,37,4,24.0,93,"18,533","1,221","5,479","287,228","1,246","5,635","260,642","1,333","6,100","337,358",15세 관람가,13996,1463,0,3
106,터널,20160810,7120508,(주)쇼박스,드라마,40254,18,0,24.0,80,"20,854",820,"3,900","379,079",854,"3,962","360,239",919,"4,268","408,520",12세 관람가,14152,1854,1,2
107,인천상륙작전,20160727,7049643,씨제이이앤엠(주),전쟁,22250,8,2,32.0,76,"12,711",901,"4,702","464,460",904,"4,803","354,500",942,"5,032","405,477",12세 관람가,35317,4399,1,2
108,럭키,20161013,6975290,(주)쇼박스,코미디,17297,1,1,345.0,"1,388","146,036",889,"4,520","214,065",956,"4,832","315,620","1,080","5,784","632,885",15세 관람가,15767,1233,0,3
109,곡성,20160512,6879908,이십세기폭스코리아(주),미스터리,27560,52,2,895.0,"2,176","176,514","1,125","4,815","310,042","1,252","5,169","409,661","1,471","6,360","761,360",15세 관람가,15570,2644,0,1
110,덕혜옹주,20160803,5599229,롯데쇼핑㈜롯데엔터테인먼트,사극,17599,25,1,24.0,90,"14,943",774,"3,458","267,112",771,"3,320","254,034",827,"3,422","282,765",12세 관람가,20348,2180,1,2
111,마스터,20161221,4935320,씨제이이앤엠(주),액션,53757,3,2,35.0,129,"23,444","1,448","6,617","392,856","1,441","6,615","347,324","1,450","7,026","417,071",15세 관람가,18671,2331,0,4
112,판도라,20161207,4313864,(주)넥스트엔터테인먼트월드(NEW),드라마,15983,4,0,28.0,78,"18,372","1,029","4,777","154,652","1,074","4,741","164,931","1,086","4,919","210,438",12세 관람가,8338,1519,0,4
113,아가씨,20160601,4287839,씨제이이앤엠(주),스릴러,47445,91,0,30.0,55,"10,768","1,016","4,701","290,024","1,069","4,824","259,971","1,122","5,104","312,873",청소년 관람불가,21671,3963,0,2
114,귀향,20160224,3587173,(주)와우픽쳐스,드라마,15354,7,0,4.0,15,"3,772",205,363,"1,570",197,351,"1,502",207,340,"1,919",15세 관람가,1736,136,1,4
115,형,20161123,2979659,씨제이이앤엠(주),코미디,163306,2,0,46.0,99,"20,515",744,"2,150","75,882",933,"4,672","136,871",922,"4,869","164,294",12세 관람가,25600,1151,0,3
116,아수라,20160928,2594028,씨제이이앤엠(주),범죄,23131,15,0,44.0,122,"24,846","1,262","5,731","475,482","1,190","5,802","233,804","1,242","6,082","241,877",청소년 관람불가,28898,4276,0,3
117,굿바이 싱글,20160629,2108273,(주)쇼박스,코미디,8531,2,0,56.0,153,"31,562",661,"2,994","122,543",676,"3,106","101,930",704,"3,286","130,409",15세 관람가,6176,668,0,2
118,봉이 김선달,20160706,2051277,씨제이이앤엠(주),사극,6222,3,0,15.0,66,"12,393",747,"3,393","136,701",760,"3,403","120,196",816,"3,587","155,593",12세 관람가,20055,1217,1,2
119,탐정 홍길동: 사라진 마을,20160504,1430885,씨제이이앤엠(주),드라마,4705,6,1,24.0,53,"9,080",669,"2,939","82,893",688,"2,769","192,319",718,"2,945","188,592",15세 관람가,6179,660,0,1
120,특별수사: 사형수의 편지,20160616,1241899,(주)넥스트엔터테인먼트월드(NEW),범죄,5017,0,0,35.0,186,"32,749",675,"3,141","75,630",691,"3,203","92,658",666,"2,981","173,050",15세 관람가,3052,383,0,2
121,시간이탈자,20160413,1202384,씨제이이앤엠(주),스릴러,7319,8,0,37.0,70,"12,265",673,"3,304","155,917",646,"3,178","42,433",681,"3,362","63,886",15세 관람가,7164,738,0,1
122,동주,20160217,1172641,메가박스중앙(주)플러스엠,드라마,20580,97,8,7.0,24,"5,398",374,"1,084","19,124",384,"1,122","26,875",403,"1,168","36,130",12세 관람가,8002,520,1,4
123,미씽: 사라진 여자,20161130,1153109,메가박스중앙(주)플러스엠,미스터리,7435,4,0,17.0,42,"6,642",633,"2,903","139,198",657,"3,061","89,975",717,"3,350","113,814",15세 관람가,4785,560,0,3
124,"당신, 거기 있어줄래요",20161214,1124815,롯데쇼핑㈜롯데엔터테인먼트,판타지,6878,2,0,43.0,100,"18,045",756,"3,559","92,278",764,"3,613","93,085",767,"3,707","104,379",12세 관람가,8363,874,0,4
125,오빠생각,20160121,1069864,(주)넥스트엔터테인먼트월드(NEW),드라마,39124,3,2,83.0,167,"24,951",841,"4,150","78,467",851,"4,163","84,019",855,"4,121","168,534",12세 관람가,8257,1092,1,4
