,name,moviename,peopleCd,수상횟수
514,김소현,순정,20114653,0
515,연준석,순정,10049829,0
516,이다윗,순정,10055073,0
517,주다영,순정,10068885,0
518,김지호,순정,10005877,0
519,박해준,순정,20161741,0
520,박용우,순정,10028989,1
521,이대연,순정,10055086,0
522,전도연,남과 여,10061252,25
523,공유,남과 여,10001901,1
524,오달수,대배우,10050151,7
525,윤제문,대배우,10054493,0
526,이경영,대배우,10054755,11
527,임슬옹,무서운 이야기 3 : 화성에서 온 소녀,20110341,0
528,경수진,무서운 이야기 3 : 화성에서 온 소녀,20165700,0
529,박정민,무서운 이야기 3 : 화성에서 온 소녀,20110693,5
530,홍은희,무서운 이야기 3 : 화성에서 온 소녀,10089740,0
531,차지연,무서운 이야기 3 : 화성에서 온 소녀,20219854,0
532,심은경,걷기왕,10040874,5
533,박주희,걷기왕,20112298,1
534,차태현,엽기적인 그녀 2,10071209,3
535,빅토리아,엽기적인 그녀 2,20195679,0
536,정현진,번개맨,20216268,0
537,루나,번개맨,20211229,0
538,신하균,올레,10040665,3
539,박희순,올레,10029595,6
540,오만석,올레,10050300,0
541,유다인,올레,10053565,1
542,마동석,두 남자,10021341,1
543,최민호,두 남자,20209286,0
544,하지원,목숨 건 연애,10087280,9
545,천정명,목숨 건 연애,10071885,1
546,진백림,목숨 건 연애,10070491,0
547,이정진,트릭,10057320,0
548,강예원,트릭,20066563,0
549,김태훈,트릭,10006155,0
550,이주승,대결,10057434,1
551,오지호,대결,10050782,0
552,이정진,대결,10057320,0
553,이정재,인천상륙작전 : 익스텐디드 에디션(확장판),10057315,10
554,이범수,인천상륙작전 : 익스텐디드 에디션(확장판),10055581,6
555,리암 니슨,인천상륙작전 : 익스텐디드 에디션(확장판),10019770,0
556,진세연,인천상륙작전 : 익스텐디드 에디션(확장판),20195689,0
557,안보현,히야,20232067,0
558,호야,히야,20196296,1
559,박철민,히야,20110935,3
560,강성미,히야,20232088,0
561,강민아,히야,10000619,0
562,이지아,무수단,10057553,0
563,김민준,무수단,10004220,1
564,송강호,택시운전사,10037018,29
565,토마스 크레취만,택시운전사,10080533,0
566,유해진,택시운전사,10054128,7
567,류준열,택시운전사,20208626,3
568,하정우,신과함께-죄와 벌,10087253,18
569,차태현,신과함께-죄와 벌,10071209,3
570,주지훈,신과함께-죄와 벌,10069179,1
571,김향기,신과함께-죄와 벌,10006228,1
572,김동욱,신과함께-죄와 벌,10003967,4
573,마동석,신과함께-죄와 벌,10021341,1
574,현빈,공조,10088975,0
575,유해진,공조,10054128,7
576,김주혁,공조,10005749,2
577,마동석,범죄도시,10021341,1
578,윤계상,범죄도시,10054204,1
579,황정민,군함도,10090290,16
580,소지섭,군함도,10036685,5
581,송중기,군함도,10037229,0
582,이정현,군함도,10057329,5
583,김수안,군함도,20153744,6
584,박서준,청년경찰,20211007,3
585,강하늘,청년경찰,20111688,2
586,조인성,더 킹,10066899,3
587,정우성,더 킹,10062025,4
588,배성우,더 킹,20136191,1
589,김아중,더 킹,10004885,7
590,류준열,더 킹,20208626,3
591,현빈,꾼,10088975,0
592,유지태,꾼,10054008,2
593,배성우,꾼,20136191,1
594,박성웅,꾼,10028773,0
595,나나,꾼,10091208,0
596,안세하,꾼,20231467,0
597,정우성,강철비,10062025,4
598,곽도원,강철비,20127192,4
599,이병헌,남한산성,10055626,22
600,김윤석,남한산성,10005276,14
601,박해일,남한산성,10029474,7
602,고수,남한산성,10001656,2
603,박희순,남한산성,10029595,6
604,나문희,아이 캔 스피크,10006877,15
605,이제훈,아이 캔 스피크,10057349,5
606,한석규,프리즌,10087518,5
607,김래원,프리즌,10004028,3
608,강신일,프리즌,0,0
609,설경구,살인자의 기억법,10035772,22
610,김남길,살인자의 기억법,10003788,0
611,설현,살인자의 기억법,20215606,1
612,오달수,살인자의 기억법,10050151,7
613,이성민,보안관,20110148,1
614,조진웅,보안관,10067353,6
615,김성균,보안관,20127194,5
616,지창욱,조작된 도시,20187851,0
617,심은경,조작된 도시,10040874,5
618,안재홍,조작된 도시,10043631,2
619,정우,재심,10062023,0
620,강하늘,재심,20111688,2
621,김해숙,재심,10006221,8
622,이제훈,박열,10057349,5
623,최희서,박열,10072221,13
624,김인우,박열,20207886,0
625,김윤석,1987,10005277,0
626,하정우,1987,10087253,18
627,유해진,1987,10054128,7
628,김태리,1987,20201026,7
629,박희순,1987,10029595,6
630,이희준,1987,10058320,2
631,<b>노무현</b>,노무현입니다,0,0
632,이선균,임금님의 사건수첩,10055970,2
633,안재홍,임금님의 사건수첩,10043631,2
634,마동석,부라더,10021341,1
635,이동휘,부라더,20186095,0
636,이하늬,부라더,20125825,0
637,강하늘,기억의 밤,20111688,2
638,김무열,기억의 밤,10004099,0
639,장동건,브이아이피,10060114,4
640,김명민,브이아이피,10004060,4
641,박희순,브이아이피,10029595,6
642,이종석,브이아이피,20127912,0
643,최민식,특별시민,10072251,20
644,곽도원,특별시민,20127192,4
645,심은경,특별시민,10040874,5
646,문소리,특별시민,10026732,14
647,라미란,특별시민,10013826,4
648,류혜영,특별시민,20113462,0
649,이기홍,특별시민,20215846,0
650,염정아,장산범,10049852,4
651,박혁권,장산범,10029480,0
652,김옥빈,악녀,10005064,1
653,신하균,악녀,10040665,3
654,성준,악녀,10029949,0
655,김서형,악녀,10004466,0
656,조은지,악녀,10066805,5
657,조진웅,해빙,10067353,6
658,신구,해빙,10040262,0
659,김대명,해빙,20200886,0
660,김명민,하루,10004060,4
661,변요한,하루,20147110,3
662,유재명,하루,20152117,0
663,설경구,불한당: 나쁜 놈들의 세상,10035772,22
664,임시완,불한당: 나쁜 놈들의 세상,20171222,2
665,이정재,대립군,10057315,10
666,여진구,대립군,10049790,3
667,김무열,대립군,10004099,0
668,윤제문,아빠는 딸,10054493,0
669,정소민,아빠는 딸,20191086,0
670,최민식,침묵,10072251,20
671,박신혜,침묵,10028892,1
672,류준열,침묵,20208626,3
673,이하늬,침묵,20125825,0
674,김수현,리얼,20125794,3
675,이성민,리얼,20110148,1
676,성동일,리얼,10035832,1
677,백윤식,반드시 잡는다,10030351,5
678,성동일,반드시 잡는다,10035832,1
679,임시완,원라인,20171222,2
680,진구,원라인,10070417,3
681,박병은,원라인,10028660,0
682,손현주,보통사람,20111125,1
683,장혁,보통사람,10060612,0
684,조진웅,대장 김창수,10067353,6
685,송승헌,대장 김창수,10037116,1
686,고수,석조저택 살인사건,10001656,2
687,김주혁,석조저택 살인사건,10005749,2
688,문성근,석조저택 살인사건,10026716,6
689,박성웅,석조저택 살인사건,10028773,0
690,이병헌,싱글라이더,10055626,22
691,공효진,싱글라이더,10001919,6
692,안소희,싱글라이더,10043550,0
693,신하균,7호실,10040665,3
694,디오,7호실,20209526,1
