,영화명,개봉일,관객수,배급사,장르,기사수,감독수상,감독파워,개봉이전_스크린수,개봉이전_상영횟수,개봉이전_관객수,개봉1일_스크린수,개봉1일_상영횟수,개봉1일_관객수,개봉2일_스크린수,개봉2일_상영횟수,개봉2일_관객수,개봉3일_스크린수,개봉3일_상영횟수,개봉3일_관객수,상영등급,기대지수,비기대지수,holiday,season
115,형,20161123,2979659,씨제이이앤엠(주),코미디,163306,2,0,46,99,20515,744,2150,75882,933,4672,136871,922,4869,164294,12세 관람가,25600,1151,0,3
116,아수라,20160928,2594028,씨제이이앤엠(주),범죄,23131,15,0,44,122,24846,1262,5731,475482,1190,5802,233804,1242,6082,241877,청소년 관람불가,28898,4276,0,3
117,굿바이 싱글,20160629,2108273,(주)쇼박스,코미디,8531,2,0,56,153,31562,661,2994,122543,676,3106,101930,704,3286,130409,15세 관람가,6176,668,0,2
118,봉이 김선달,20160706,2051277,씨제이이앤엠(주),사극,6222,3,0,15,66,12393,747,3393,136701,760,3403,120196,816,3587,155593,12세 관람가,20055,1217,1,2
119,탐정 홍길동: 사라진 마을,20160504,1430885,씨제이이앤엠(주),드라마,4705,6,1,24,53,9080,669,2939,82893,688,2769,192319,718,2945,188592,15세 관람가,6179,660,0,1
120,특별수사: 사형수의 편지,20160616,1241899,(주)넥스트엔터테인먼트월드(NEW),범죄,5017,0,0,35,186,32749,675,3141,75630,691,3203,92658,666,2981,173050,15세 관람가,3052,383,0,2
121,시간이탈자,20160413,1202384,씨제이이앤엠(주),스릴러,7319,8,0,37,70,12265,673,3304,155917,646,3178,42433,681,3362,63886,15세 관람가,7164,738,0,1
122,동주,20160217,1172641,메가박스중앙(주)플러스엠,드라마,20580,97,8,7,24,5398,374,1084,19124,384,1122,26875,403,1168,36130,12세 관람가,8002,520,1,4
123,미씽: 사라진 여자,20161130,1153109,메가박스중앙(주)플러스엠,미스터리,7435,4,0,17,42,6642,633,2903,139198,657,3061,89975,717,3350,113814,15세 관람가,4785,560,0,3
124,"당신, 거기 있어줄래요",20161214,1124815,롯데쇼핑㈜롯데엔터테인먼트,판타지,6878,2,0,43,100,18045,756,3559,92278,764,3613,93085,767,3707,104379,12세 관람가,8363,874,0,4
125,오빠생각,20160121,1069864,(주)넥스트엔터테인먼트월드(NEW),드라마,39124,3,2,83,167,24951,841,4150,78467,851,4163,84019,855,4121,168534,12세 관람가,8257,1092,1,4
126,"날, 보러와요",20160407,1063442,메가박스중앙(주)플러스엠,미스터리,10263,0,0,5,18,4541,424,2067,42192,510,2354,54666,668,2996,112368,청소년 관람불가,4353,392,0,1
127,"고산자, 대동여지도",20160907,974262,씨제이이앤엠(주),사극,6543,44,1,39,92,20623,764,3137,29603,765,3137,31027,756,3142,40824,전체 관람가,3583,625,0,3
128,좋아해줘,20160217,848148,씨제이이앤엠(주),멜로/로맨스,12343,1,0,19,54,11969,614,2540,73132,618,2577,71574,620,2613,76361,12세 관람가,11032,1081,1,4
129,스플릿,20161109,758195,오퍼스픽쳐스,드라마,4978,0,0,47,103,20583,563,2551,33686,615,2639,48354,615,2765,71942,15세 관람가,1700,237,0,3
130,국가대표 2,20160810,709929,메가박스중앙(주)플러스엠,드라마,34983,0,0,29,173,28848,562,2516,61508,551,2326,53531,541,2169,59772,12세 관람가,7290,1289,1,2
