,0
81,"영등포 대휘관에서 극한직업 보기!
대휘관 꾸며진 사진들 내가 특히 좋아하는 날만 쏙쏙! 정말 행복했습니다ㅠㅠ
영화보는 사람들이 완전 많았어요!들어가시면서 어? 대휘잖아 대휘 하시는데 내가 괜히 뿌듯해가지구.. o((*^▽^*))o
다들 이대휘관 오셔서 천국을 맛보세요
@leedaehwi_gall pic.twitter.com/iMAz7rWu9E"
82,"도영: 저희 형이 영화를 개봉했거든요
재현: 축하드립니다
도영: 극한직업이라고 잘될 것 같아요"
83,"도영: 도다제에 걸맞는지는 모르겠지만, 저희 형이 영화를 개봉했거든요 (재현: 축하드려요) 극한직업이라고~ 제가 봤을때 잘 될것같아요 ㅋㅋ 저도 너무 보고싶었는데 콘서트 준비때문에 바빠서 서울콘이 끝나면 바로 보러갈거예요 예매권 준대요 필요하시는분들 얘기하세요 저한테 ^^"
84,"도, 저희 형이 영화를 개봉햇거든요 극한직업이라고. 제가 봤을 때 잘될 거 같아요 ^^  

형이 예매권 준댓다고 필요한 사람 말하래 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
85,"“100만 관객 하루만에 벌써 200만..?!（°o°；）
#극한직업 개봉 4일만에 200만 관객 돌파!!

#흥행맛집 예매는 필수!
CGV https://goo.gl/nR5Ap3 
롯데시네마 https://goo.gl/sAUEQb 
메가박스 https://goo.gl/vyfkjV 

#어머니_흥행을_감당하실수_있겠냐고_물었습니다
#절찬상영중 pic.twitter.com/pGsqbeUNwl"
86,저 극한직업 무대인사갔어요ㅠㅜㅠㅜㅠㅠㅠ 이1동휘ㅠㅜㅜㅠ 
87,"극한직업 보세요
두번은 안보지만 한번은 볼만하다"
88,"공명님... 진짜 잘생기셨다 아니 사실 그냥 귀염상인절 알았는데 잘생기셨어ㅠㅠ 영화에서 너무 ㅋㅋㅋ철없다해야하나 귀엽고 웃기고 ㅋㅋㅋㅋㅋㅋㅋ 동휘오빠가 자기소개하고 마이크 넘겨서 대사쳐주는데 쌍으로 귀엽고ㅠ 난리 ㅠㅠ 그리구 진짜 뽀야시다... 부러움...

#극한직업 #공명 pic.twitter.com/jTbV6Y0Uk3"
89,"관객들의 사랑에 배우들 극한 팬서비스 대방출!!
#부산 으로 찾아간 #극한직업 무대인사 현장 (‘∀’●)♡

▼내일은 #대구 에서 만나요!!▼
CGV https://goo.gl/nR5Ap3 
롯데시네마 https://goo.gl/sAUEQb 
메가박스 https://goo.gl/vyfkjV 

#류승룡 #이하늬 #진선규 #이동휘 #공명 #이병헌감독 pic.twitter.com/7sLRUvOra4"
90,"2014 15년도와 작년, 그리고 올해 나온 영화들을 한국알탕영화들을 보면 여성의 비중이 눈에띄게 늘어났다는 생각이 든다 당장 애호박나오던 베테랑에서 장윤주 배우님이나 암살에서 전지현 배우님은 히로인이나 꽃 또는 악역 여자들과 싸우는 역할이였는데 이번 극한직업에서의 이하늬배우님은"
91,전업주부인 모임장이 자기놈편은 ㅇㅇㅇ남편으로 사는 거 극한직업이라고 푸념한다는 얘기도 나오는데 부인이 자기보다 돈 더 벌고 탈혼요구각 서면 극한직업 운운하는 너스레 소리가 나오겠냐? 이혼남 될 일 절대 없고 나 위해서 무급노동으로 부역할 여자 있다는 거 확신하니까 부리는 엄살이지.
92,"지금까지 이런 맛은 없었다
갈비인가 치킨인가
ㅋㅋㅋㅋㅋㅋㅋ
극한직업 막 완전 꿀잼까진 아닌데 
걍 볼만함 웃김
왜 장사 장사잘되냐고 왜 진심이냐고
하는거 개터지넼ㅋㅋㅋㅋ"
93,공띵나오는극한직업보러옴
94,앜ㅋㅋ ㅋ ㅋ ㅋ저 극한직업 봤은데 딘짜 너무 웃기고..ㅋ쿠ㅜㅜㅜ 영화 보면서 계속 웃었어욬ㅋ쿠ㅜㅜㅜ
95,극한직업 의외로 재밌어! 마지막에 영웅본색 노래 나오는것도 나쁘지않았고. 뭣보다 여성캐릭터가 다들 강하게 나와서 좋았음 ㅋㅋ
96,영화보러 나왔다가 말모이랑 극한직업 두 개 밖에 없어서 실패
97,"아니 이 주말에 어딜 나가려고 하냐고 엄빠가 번갈아가며 잔소리를 하길래 아나, 극한직업 오늘 저녁으로 둘이 예매 해줄테니까 가서 영화나 보라고 했더니 언제 그랬냐는듯 존나 나보고 왜 안 나가냐고 물어봄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 쩜오팡인들..."
98,"#_영화
오늘의 영화
극한직업"
