"points" "reviews"
"172" "10" "앜ㅋㅋㅋ진선규님 ㅠㅠ존경합니다  "
"173" "5" "너무뻔함..중간중간 웃기는부분이있지만 개연성이 떨어진다. 그냥 딱 킬링타임용. 이게 1500만을바라보다니..최근 몇년동안 한국코미디영화가 어땠으면 이런건가 싶다. 작품자체보다는 운과 타이밍이 좋은영화다.  "
"174" "10" "정말 제대로 웃으면서 본 코미디영화! ^^ 또 보고 싶네요.  "
"175" "10" "관람객기분좋게 웃고왔습니다^^  "
"176" "10" "관람객재밌어요 연기 다들 잘하고 치킨 먹고싶어짐  "
"177" "8" "관람객나름대로 재미있고 볼 만한 영화였다고 생각 됨.  "
"178" "1" "이게 왜 천만명씩이나 시간 들여서 본 영화가 된것인지.그냥 속은 느낌이었습니다. 경쟁작이 없어서 과대평가된 것 같습니다.  "
"179" "9" "개그코드 스펙트럼이 넓었다. 현 한국의 실상을 보여주는 면이 많아서 그 자체로 위안이 되는 영화! 너무웃겻다 진짜 영화중에 이렇게 웃은영화 처음인듯!!  "
"180" "10" "관람객완전 기분전환 이하늬 와일드 액션 진선규 코믹액션류승룡 좀비캐릭터 공명 넌 뭐니 이동휘 멋짐 폭발신하균 역시 악역도 신하균  "
"181" "6" "관람객통닭광고 인지 수원 갈비 광고인지???하지만  팀 웍  넘 좋았어요  "
"182" "8" "관람객ㅋㅋ너무 재밌었습니다!완전강츄!!!!힐링하고왔어용★  "
"183" "10" "처음부터 끝까지 웃고 나왔네요 ㅋㅋ  "
"184" "9" "관람객정말 잼있게 봤습니다한마디로 극한직업 배우들 연기 짱입니다  "
"185" "10" "알리타 본 돈으로 이거 두번볼껄 ㄷㄷ  "
"186" "10" "관람객졸잼..진짜 예측이불가한 영화 신랑이랑 재밌게봄  "
"187" "9" "내가 기대를  너무 많이 한 건 가  기대에는 못 미치지만  너무 재밌었다.  딱히  할 말 없이  그냥  너무 재밌다.  그리고  거의  초반에 복근  나오는  거 꿀 ~~~ 그냥  재밌어요  생각 털고 싶을  때  보면 제일 좋 습니다.  "
"188" "8" "관람객한참 웃다 왔네요 ㅎㅎ 정말 쓸데없는 감동없이 편히 웃다 올 수 있습니다  "
"189" "9" "관람객정말 재미있게  봤습니다. ㅎㅎ 개인적으로 액션신이 좋았습니다. ㅎㅎ.  "
"190" "10" "꿀잼가나다라마바사아  "
"191" "10" "관람객꿀잼입니다 꿀잼입니다 꿀잼입니다  "
"192" "10" "눈물나게 웃어본 게 얼마만인지~스트레스 해소하고 왔네요~감독님...배우분들 ...이런영화 만들어줘서 감솨~^^  "
"193" "1" "영화보자마자 평점들어와서 봤는데 순간 내가 이상한 사람인줄 나만빼고 다 재밋게본건가?? 이게 재밋나? 당분간 한국영화 못볼듯 싶습니다  "
"194" "9" "관람객익숙한 장면들이 많이 나와서 편하게 봤습니다  "
"195" "9" "가볍게 보기 좋아요. 재미있네요  "
"196" "7" "굉장히 재미있는데...2%가 아쉬움  "
"197" "10" "오랜만에 재밌는 영화를 봤다ㅎㅎ 이하늬 넘 예쁘고 액션도 있어서 전반적으로 만족스러운 영화ㅎㅎ  "
"198" "10" "관람객모든배우들 열현했다.  "
"199" "6" "난 그저 b급 코믹물...홍보와 댓글 .스크린 점유율이 만든 관객수  "
"200" "1" "내돈...ㅡㅡ,....  "
"201" "10" "진짜 재밌고 이하늬 재발견ㄷㄷ  "
"202" "10" "관람객웃음빵빵 개터짐 너무재밌게봣어유  "
"203" "10" "진짜너무재밌었어요... ㅠㅠ소장하고봐야겠어요 ㅋㅋ  "
"204" "10" "느무느무 좋아요 진짜아아아아!!!!  "
"205" "10" "유치할수밖에없는코믹영화~ 정말유치하다볼수있지만도 그만큼잼나고웃긴영화~ 간만에 첨부터 끝까지 계속웃으면서 봤네요~ 뻔할수밖에 없다고도볼수있지만 끝까지 넘 웃겼어요~~ 정말 잼나고 신나고 속시원히 봤네요~  "
"206" "8" "극한직업만 보고 알리타안본사람은 바보입니다  "
"207" "10" "요몇년 동안 본 영화중에 제일 많이 웃었다. 지금까지 이런 영화는 없었다. 이것은 영화인가 개그인갘ㅋㅋ  "
"208" "9" "이하늬는 그냥 야,너 라는 대사 한마디만 해도 웃긴다. 그 한마디가 진짜 욕이나 독설하는걸로 착각할 정도로 찰지게 연기를 잘한다. 그이외 배우들 연기도 대단한거 같았다. 이런 코미디영화 많이 나왔음 좋겠다.(우러먹기는 nono)  "
"209" "9" "관람객편하게 웃으면서 봤습니당~  "
"210" "10" "우리나라에서 낸 코믹영화중 제일 재미있었다. 가볍게 보기 좋은 영화라 생각. 박수치면서 봄. 보는 내내 치킨이 너무 맛있어보여서 배에서 꼬르륵 소리 났다..  "
"211" "2" "이게 뭐라고 1400만이 넘었지.. 그냥 전형적인 한국 범죄물..  "
"212" "4" "관람객영화볼때 집중해서 보다가 팝콘을 항상 남기는데진부하고 재미없어서 팝콘을 먹는데 집중할 수 있었어요. 덕분에 팝콘 안 남기고 다 먹었네요!제가 갔던 영화관에는 웃음장벽이 높은 관객들만 있었던걸까요? 2번빼고 다 정적..솔직히 내 기준B급영화였음.  "
"213" "6" "이병헌감독님은 핸섬하나.. 기대이하.. 어색한 연기, 억지웃음.. 차라리 아이스나 가버나움 볼껄.. 소중한 시간내서 봤는데 씁쓸했음. 최단시간 안에 천만돌파는 걍 cj가 만들었던것. ..  "
"214" "7" "재밌습니다. 하지만 천만 넘길정도는 아니죠.. 킬링타임용으로 딱  "
"215" "10" "관람객오랜만에 재밌게 잘 봤어요. 출연진들 연기도 좋고 액션과 재미를 동시에 즐거운시간이였어요 고마워요.오랜만에 재밌게 잘 봤어요. 출연진들 연기도 좋고 액션과 재미를 동시에 즐거운시간이였어요 고마워요.오랜만에 재밌게 잘 봤어요.  "
"216" "10" "완전 웃김 오랜만에 웃으면서 본 영화 극한직업 최고 또 보고싶은 영화  "
"217" "1" "사는게 다들 너무 삭막하신가 봅니다..웃을 일이 그렇게 없으셨나요 여러분ㅠ...  "
"218" "10" "관람객재밌었어요 보면서 많이 웃었어요  "
"219" "10" "관람객영화보면서 왠만하면 잘 웃지 않는데 피식거리면서 봤습니다. 이 정도로 웃긴 영화는 드문데 재밌는 영화인 것 같아요. 추천합니다~  "
"220" "10" "과하지 않게 재밌다.통신사 멤버십 포인트로 봐도 재밌다  "
"221" "10" "재밌었어요. 간만에 웃었네요.  "
"222" "10" "뭔가...전체 스토리는 예상가능한 B급 맞음. 근데 배우 카메라 연출이 90%먹고감. A급 배우들이 B급인척 영화 찍은 느낌. 돈주고 봐도 괜춘함. 단지 이 개그들을 못받아 들이는 애들은 지루하겠지.  "
"223" "10" "이거재미없다는사람 취향은 존중하나 재미잇다는사람 비꼬지좀 말자 재미잇다는사람이 재미없다는사람 비꼰적있냐??  "
"224" "1" "억지개그코드 때문에 흐름 다 끊김... 웃기지도 않음... 그냥 피식하는 정도이동휘가 그나마 캐리....  "
"225" "10" "개꿀잼이다이다이다ㅋ  "
"226" "10" "자다가도 류승룡이 후배가 소고기쏠때 따라나서는 장면생각나서 웃겠다  "
"227" "6" "알바색휘들OO래?평점이게딱이다진짜  "
"228" "7" "재미있긴 했지만 역대급 흥행이라는 소식에 엄청난 기대를 가지고봐서 그런지 몰라도 솔직히 웃음  자체는 그저 그랬다. 오히려 스토리가 조금 의미있게 다가온듯 하다.  "
"229" "2" "생각보다재미없어요 너무기대를했나봐요  "
"230" "10" "관람객아무 생각 없이 엄청 웃다가 나왔어요 가족들이랑 보기 좋은 영화였음 ㅋㅋㅋ  "
"231" "10" "진짜재밌는영화네요ㆍ웃는2시간  "
"232" "10" "그렇가 진선규씨는 비주얼 담당이었다. 하늬 누님이 그렇다면 그런거다  "
"233" "10" "일끝나고 봤는데 스트레스 확풀리게 웃었다연기자들 전부 최고였음  "
"234" "9" "관람객재밌습니다 ㄹㅇ루다가  "
"235" "10" "이것은 갈비인가 치킨인가...  "
"236" "10" "관람객재밋습니다한번볼만은함  "
"237" "10" "관람객영화 별로 안좋아해서 영화관 별로 안오는데 가족들이랑 와서 정말 재밌게 보고 갑니다. 시작부터 끝까지 웃게되는 영화였어요. 영화보다가 고구마 먹는 느낌 들고 화나는 게 싫은데 이 영화는 그런 부분은 거의 없어서 편하게 봤어요. 호불호 안갈릴것같은 영화  "
"238" "10" "뻔한 내용이지만 가볍게 볼만함  "
"239" "8" "관람객지금까지 이런 맛은 없었다 이것은 갈비인가 통닭인가 ㅋㅋ  "
"240" "10" "관람객소문듣고 갔다왔네요~~~^^재밌더라구요~~~그냥 아무생각없이 웃다 올 수있는 영화~~~무겁지 않아 좋았어요  "
"241" "6" "조조로 보다 졸았어요..  "
"242" "6" "별로임 그래도 한국 경찰영화중에서는 강철중 공공의적 다음 순위정도?  "
"243" "1" "이게 재밌어요???? 정말 ? 리얼리???  "
"244" "9" "가볍게 보기 좋은 영화.  "
"245" "8" "관람객연기도 좋고 재미있네요  "
"246" "10" "관람객ㅋㅋ겁나웃겨요 웃다가 배꼽 빠져요!새벽에보러갔는데 웃다가 나왓어요  "
"247" "8" "관람객시시하면서도 웃긴 영화.빵터지는 장면이 잠깐잠깐아쉬운 장면도 있어지만요볼만했어요.아이들도 웃기다고하내요  "
"248" "10" "관람객너무너무 재밌어요!!!  "
"249" "9" "관람객처음부터끝까지 배꼽빠지게웃었따. 한국영화 특징 로맨스가있긴한데 그것도 코믹하고,부담스럽지않을정도  "
"250" "10" "이것은코미딘가?시사인가?ㅋㅋㅋ즐거웠어요~여전히  안먹었던  통닭을 배달시킵니다.번창하십쇼.다   들  요~  "
"251" "8" "볼 때는 신나게 웃었지만 영화관을 나오니 내용이 기억나지 않는 신기한 영화  "
"252" "10" "이건 처음부터 끝까지 다 웃김  "
"253" "6" "평점 9가 왜넘는지 모르겠는정도로 그닥재밌진 않았어요 ㅠ  "
