,0
83,[공식]'극한직업' 개봉 3일만에 100만 돌파…역대 코미디 영화 최단 속도 (출처 : 스포츠조선 | 네이버 TV연예) http://naver.me/5O4dpCiZ 
84,"[시골청년 이야기]영화 극한 직업 줄거리 및 후기(류승룡,이하늬,진선규,이동휘,공명) "
85,마약 수사단? 치킨 맛집 주인?…영화 ‘극한직업’ 주목 / SBS http://bluelatte.kr/archives/43773 
86,"'극한직업', 3일만 110만 돌파..역대 코미디 영화 최단 '新기록ing'[美친box] | 다음연예 "
87,큰 상영관도 아니고 우리집 앞 극장은 상영관이 하나밖에 없는데도 무대인사 많이 오네 >_< 무대인사는 못보겠고 그냥 영화 보러 가야겠댱ㅎ 극한직업 재밌겠네~
88,"가족끼리 아침부터 영화보러왔당~!
극한직업보러옴ㅎㅎ pic.twitter.com/Q0AGS7KDMd"
89,영화 '극한직업' 리뷰...txt https://inti.kr/pt/5977162 
90,극한직업 영화 본 트친있나요오?????
91,극한직업보러 동탄CGV왓는대 럽셀콘영화 싱어롱한다 ㅠㅠㅠㅠㅠㅠ
92,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ극한직업이 영화였구나? ><
친구들이 계속 아- 극한직업 보구싶다~~~ 이러길래 
속으로 와...그거 우리 할아버지가 좋아하는건데 내 또래도 많이 보는거였규나 라고 생각했삼...."
93,"닭 잡고 감옥 가고 입대까지, 영화 속 ‘극한직업’ 탐구 생활 http://news.maxmovie.com/392081 

 ‘불한당: 나쁜 놈들의 세상’(2017)
감옥까지 간 언더커버 경찰

#임시완  #yimsiwan"
94,극한직업 보고왓음 영화재밋더라
95,"극한직업
평가 : 좋았어요
http://m.cgv.co.kr/WebAPP/Fanpage/Gateway.aspx?MovieIdx=81552 …
정말 웃기는 영화다. 이동휘 변신 이미지 베리굿~~"
96,극한직업 영화보러간다
97,밥먹구 극한직업 영화보기로 했당 희희
98,"180도 기름에 데이고, 칼에 베이고. 얼마나 쓰라린 줄 알아? 아파, 지금 현재도 굉장히 쓰라린 상태야. 

| 영화 극한직업(2019), 마형사 비공식 수동봇. pic.twitter.com/nWPdhSASzc"
99,여러분들 극한직업 존나 재밌어요 저 원래 웃긴영화도 영화관에서는 속으로 웃는편이거든요 근데 오늘 시작하자말자 웃다가 돼지소리 났어요
100,극한직업 너무 재밌다. '처음부터 끝까지 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'로 뒤덮인 영화' 라는 리뷰 백퍼공감.
101,오잉 극한직업은 영화에용
102,모닝영화~~|극한직업보구왓다
103,"@_haetae 

제가 최근에 본 두 영화는 무엇일까요??

1 럽셀 인 서울
2 말모이
3 극한직업
4 주먹왕 랄프"
104,"영화 극한직업을 봤습니다. 삶에 지치신분, 일상이 무료하신분, 재밌는게 하나도없고 웃을일도 없다, 세상이 너무 삭막한것 같다, 웃고싶다! 하신분들 꼭 봅시다ㅠㅠ 진짜 진차진짜 오랜만에 너무웃었어요! 파고스에 지치신 팦러분들에게도 추천합니다 아 진선규 너무좋아요 형 사랑해요!!! pic.twitter.com/sOhvDdwQPb"
105,"오늘 본 영화는 <극한직업> 인가?  동생1은 채령이야? ㅎㅎ 

#ChaeyeonMail #채연메일"
106,극한직업 영화 보러왔는데 사람 아무더 없음 
107,진자 개봉하는 영화는 거의 다보는 머글 친구가 극한직업 별 다섯개 줫어
