,영화명,개봉일,개봉일2,개봉일7일전,개봉일7일전2,개봉일1일전,개봉일1일전2,개봉전뉴스
157,신과함께-죄와 벌,2017-12-20,2017.12.20,2017-12-13,2017.12.13,2017-12-19,2017.12.19,1293
235,상류사회,2018-08-29,2018.08.29,2018-08-22,2018.08.22,2018-08-28,2018.08.28,1283
184,불한당: 나쁜 놈들의 세상,2017-05-17,2017.05.17,2017-05-10,2017.05.10,2017-05-16,2017.05.16,1431
201,로마의 휴일,2017-08-30,2017.08.30,2017-08-23,2017.08.23,2017-08-29,2017.08.29,1264
10,나의 사랑 나의 신부,2014-10-08,2014.10.08,2014-10-01,2014.10.01,2014-10-07,2014.10.07,1262
76,서부전선,2015-09-24,2015.09.24,2015-09-17,2015.09.17,2015-09-23,2015.09.23,1257
124,"당신, 거기 있어줄래요",2016-12-14,2016.12.14,2016-12-07,2016.12.07,2016-12-13,2016.12.13,1249
8,끝까지 간다,2014-05-29,2014.05.29,2014-05-22,2014.05.22,2014-05-28,2014.05.28,1224
126,"날, 보러와요",2016-04-07,2016.04.07,2016-03-31,2016.03.31,2016-04-06,2016.04.06,1196
195,7호실,2017-11-15,2017.11.15,2017-11-08,2017.11.08,2017-11-14,2017.11.14,1195
167,프리즌,2017-03-23,2017.03.23,2017-03-16,2017.03.16,2017-03-22,2017.03.22,1178
35,마담 뺑덕,2014-10-02,2014.10.02,2014-09-25,2014.09.25,2014-10-01,2014.10.01,1171
190,원라인,2017-03-29,2017.03.29,2017-03-22,2017.03.22,2017-03-28,2017.03.28,1171
192,대장 김창수,2017-10-19,2017.10.19,2017-10-12,2017.10.12,2017-10-18,2017.10.18,1169
206,이웃집 스타,2017-09-21,2017.09.21,2017-09-14,2017.09.14,2017-09-20,2017.09.20,1166
80,오피스,2015-09-03,2015.09.03,2015-08-27,2015.08.27,2015-09-02,2015.09.02,1155
83,내 심장을 쏴라,2015-01-28,2015.01.28,2015-01-21,2015.01.21,2015-01-27,2015.01.27,1148
15,두근두근 내 인생,2014-09-03,2014.09.03,2014-08-27,2014.08.27,2014-09-02,2014.09.02,1123
19,찌라시: 위험한 소문,2014-02-20,2014.02.20,2014-02-13,2014.02.13,2014-02-19,2014.02.19,1121
69,그놈이다,2015-10-28,2015.10.28,2015-10-21,2015.10.21,2015-10-27,2015.10.27,1118
112,판도라,2016-12-07,2016.12.07,2016-11-30,2016.11.30,2016-12-06,2016.12.06,1114
63,더 폰,2015-10-22,2015.10.22,2015-10-15,2015.10.15,2015-10-21,2015.10.21,1110
5,타짜-신의 손,2014-09-03,2014.09.03,2014-08-27,2014.08.27,2014-09-02,2014.09.02,1108
140,비밀은 없다,2016-06-23,2016.06.23,2016-06-16,2016.06.16,2016-06-22,2016.06.22,1077
134,가려진 시간,2016-11-16,2016.11.16,2016-11-09,2016.11.09,2016-11-15,2016.11.15,1074
257,데자뷰,2018-05-30,2018.05.30,2018-05-23,2018.05.23,2018-05-29,2018.05.29,1068
54,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015.02.11,2015-02-04,2015.02.04,2015-02-10,2015.02.10,1065
205,역모-반란의 시대,2017-11-23,2017.11.23,2017-11-16,2017.11.16,2017-11-22,2017.11.22,1128
225,성난황소,2018-11-22,2018.11.22,2018-11-15,2018.11.15,2018-11-21,2018.11.21,1057
96,돌연변이,2015-10-22,2015.10.22,2015-10-15,2015.10.15,2015-10-21,2015.10.21,1051
152,대결,2016-09-22,2016.09.22,2016-09-15,2016.09.15,2016-09-21,2016.09.21,1040
108,럭키,2016-10-13,2016.10.13,2016-10-06,2016.10.06,2016-10-12,2016.10.12,1035
165,남한산성,2017-10-03,2017.10.03,2017-09-26,2017.09.26,2017-10-02,2017.10.02,1026
222,명당,2018-09-19,2018.09.19,2018-09-12,2018.09.12,2018-09-18,2018.09.18,1025
213,암수살인,2018-10-03,2018.10.03,2018-09-26,2018.09.26,2018-10-02,2018.10.02,1020
77,헬머니,2015-03-05,2015.03.05,2015-02-26,2015.02.26,2015-03-04,2015.03.04,1010
98,미안해 사랑해 고마워,2015-10-28,2015.10.28,2015-10-21,2015.10.21,2015-10-27,2015.10.27,1010
181,악녀,2017-06-08,2017.06.08,2017-06-01,2017.06.01,2017-06-07,2017.06.07,998
50,사도,2015-09-16,2015.09.16,2015-09-09,2015.09.09,2015-09-15,2015.09.15,988
