,영화명,개봉일,관객수,장르,상영등급,기사수,감독수상,감독파워,배우수상,배우파워,개봉전트윗,개봉후트윗,holiday,season,개봉이전_스크린수,개봉이전_상영횟수,개봉이전_관객수,개봉평균스크린수,개봉평균상영횟수,개봉평균관객수,배급사크기
115,형,20161123,2979659,코미디,12세 관람가,163306,2,0,3,4,131,301,0,3,46.0,99.0,20515.0,866,3897,125682,big
116,아수라,20160928,2594028,범죄,청소년 관람불가,23131,15,0,25,18,132,287,0,3,44.0,122.0,24846.0,1231,5871,317054,big
117,굿바이 싱글,20160629,2108273,코미디,15세 관람가,8531,2,0,14,8,37,183,0,2,56.0,153.0,31562.0,680,3128,118294,big
118,봉이 김선달,20160706,2051277,사극,12세 관람가,6222,3,0,6,7,60,179,1,2,15.0,66.0,12393.0,774,3461,137496,big
119,탐정 홍길동: 사라진 마을,20160504,1430885,드라마,15세 관람가,4705,6,1,5,1,60,187,0,1,24.0,53.0,9080.0,691,2884,154601,big
120,특별수사: 사형수의 편지,20160616,1241899,범죄,15세 관람가,5017,0,0,9,13,122,241,0,2,35.0,186.0,32749.0,677,3108,113779,big
121,시간이탈자,20160413,1202384,스릴러,15세 관람가,7319,8,0,6,4,73,168,0,1,37.0,70.0,12265.0,666,3281,87412,big
122,동주,20160217,1172641,드라마,12세 관람가,20580,97,8,7,4,128,281,1,4,7.0,24.0,5398.0,387,1124,27376,mid
123,미씽: 사라진 여자,20161130,1153109,미스터리,15세 관람가,7435,4,0,6,2,102,295,0,3,17.0,42.0,6642.0,669,3104,114329,mid
124,"당신, 거기 있어줄래요",20161214,1124815,판타지,12세 관람가,6878,2,0,17,8,95,185,0,4,43.0,100.0,18045.0,762,3626,96580,big
125,오빠생각,20160121,1069864,드라마,12세 관람가,39124,3,2,4,3,93,223,1,4,83.0,167.0,24951.0,849,4144,110340,big
126,"날, 보러와요",20160407,1063442,미스터리,청소년 관람불가,10263,0,0,0,4,55,123,0,1,5.0,18.0,4541.0,534,2472,69742,mid
127,"고산자, 대동여지도",20160907,974262,사극,전체 관람가,6543,44,1,3,1,76,86,0,3,39.0,92.0,20623.0,761,3138,33818,big
128,좋아해줘,20160217,848148,멜로/로맨스,12세 관람가,12343,1,0,8,6,71,223,1,4,19.0,54.0,11969.0,617,2576,73689,big
129,스플릿,20161109,758195,드라마,15세 관람가,4978,0,0,5,5,76,130,0,3,47.0,103.0,20583.0,597,2651,51327,small
130,국가대표 2,20160810,709929,드라마,12세 관람가,34983,0,0,7,14,70,119,1,2,29.0,173.0,28848.0,551,2337,58270,mid
131,그날의 분위기,20160114,653287,멜로/로맨스,15세 관람가,17341,0,0,2,2,49,83,1,4,10.0,33.0,7519.0,584,2766,82374,big
132,사냥,20160629,645922,액션,15세 관람가,50370,0,0,6,6,95,202,0,2,10.0,20.0,5535.0,684,3615,99827,big
133,널 기다리며,20160310,635235,스릴러,청소년 관람불가,4296,1,0,5,8,50,264,0,1,8.0,16.0,3662.0,492,2388,67352,big
134,가려진 시간,20161116,510878,드라마,12세 관람가,9517,3,0,5,8,78,231,0,3,215.0,362.0,19152.0,859,3755,61061,big
135,해어화,20160413,485695,사극,15세 관람가,9053,7,0,11,9,91,175,0,1,19.0,42.0,7841.0,553,2496,43544,big
136,계춘할망,20160519,482516,가족,15세 관람가,6959,1,0,18,0,49,138,0,1,25.0,102.0,15115.0,508,1770,44916,small
137,"로봇, 소리",20160127,476665,드라마,12세 관람가,12118,4,0,8,12,65,171,1,4,147.0,548.0,36250.0,594,2554,38850,big
138,위대한 소원,20160421,308398,코미디,15세 관람가,3418,0,0,2,2,48,40,0,1,445.0,1433.0,25610.0,523,2799,42259,big
139,혼숨,20161026,288016,공포(호러),15세 관람가,584,0,0,2,2,32,68,0,3,3.0,7.0,1450.0,439,1024,28613,small
140,비밀은 없다,20160623,250829,스릴러,청소년 관람불가,46745,16,0,21,5,58,258,0,2,9.0,22.0,3067.0,479,2246,49766,big
141,순정,20160224,240484,드라마,12세 관람가,43766,0,0,2,9,130,254,1,4,22.0,124.0,24445.0,447,1529,32843,mid
142,남과 여,20160225,203775,멜로/로맨스,청소년 관람불가,8609,8,0,1,2,82,215,1,4,14.0,29.0,7640.0,437,1387,29796,big
143,대배우,20160330,169984,코미디,12세 관람가,8264,1,0,18,25,53,79,0,1,11.0,18.0,4057.0,465,2025,21721,small
