,영화명,개봉일,개봉일2,개봉일7일전,개봉일7일전2,개봉전뉴스,개봉일7일후,개봉일7일후2,개봉후뉴스
249,채비,2017-11-09,2017.11.09,2017-11-02,2017.11.02,197,2017-11-16,2017.11.16,250
250,번 더 스테이지: 더 무비,2018-11-15,2018.11.15,2018-11-08,2018.11.08,183,2018-11-22,2018.11.22,349
251,머니백,2018-04-12,2018.04.12,2018-04-05,2018.04.05,162,2018-04-19,2018.04.19,193
252,번개맨의 비밀,2018-12-06,2018.12.06,2018-11-29,2018.11.29,7,2018-12-13,2018.12.13,17
253,혼숨,2016-10-26,2016.10.26,2016-10-19,2016.10.19,145,2016-11-02,2016.11.02,120
254,해피 투게더,2018-11-15,2018.11.15,2018-11-08,2018.11.08,119,2018-11-22,2018.11.22,229
255,약장수,2015-04-23,2015.04.23,2015-04-16,2015.04.16,99,2015-04-30,2015.04.30,185
256,맨홀,2014-10-08,2014.10.08,2014-10-01,2014.10.01,94,2014-10-15,2014.10.15,130
257,흥부: 글로 세상을 바꾼 자,2018-02-14,2018.02.14,2018-02-07,2018.02.07,87,2018-02-21,2018.02.21,729
258,번개맨,2016-02-11,2016.02.11,2016-02-04,2016.02.04,65,2016-02-18,2016.02.18,55
259,번개맨과 신비의 섬,2018-04-05,2018.04.05,2018-03-29,2018.03.29,8,2018-04-12,2018.04.12,16
260,타투,2015-12-10,2015.12.10,2015-12-03,2015.12.03,49,2015-12-17,2015.12.17,29
261,독전: 익스텐디드 컷,2018-07-18,2018.07.18,2018-07-11,2018.07.11,20,2018-07-25,2018.07.25,318
