,영화명,개봉일,관객수,배급사,장르,상영등급,기사수,감독수상,감독파워,배우수상,배우파워,개봉전트윗,개봉후트윗,holiday,season,기대지수,비기대지수,개봉이전_스크린수,개봉이전_상영횟수,개봉이전_관객수,개봉1일_스크린수,개봉1일_상영횟수,개봉1일_관객수,개봉2일_스크린수,개봉2일_상영횟수,개봉2일_관객수,개봉3일_스크린수,개봉3일_상영횟수,개봉3일_관객수,개봉평균스크린수,개봉평균상영횟수,개봉평균관객수,배급사크기
68,간신,20150521,1110246,롯데쇼핑㈜롯데엔터테인먼트,사극,청소년 관람불가,14926,8,0,4,7,113,262,0,1,4570,2003,10.0,40.0,8947.0,674,3057,83605,673,3140,92994,697,3105,148495,681,3100,108364,big
69,그놈이다,20151028,1046015,CGV아트하우스,스릴러,15세 관람가,14737,0,0,7,10,68,182,0,3,5658,575,17.0,39.0,6343.0,510,2354,97168,541,2518,68453,590,2773,89633,547,2548,85084,mid
70,미쓰 와이프,20150813,988451,메가박스중앙(주)플러스엠,코미디,15세 관람가,9913,0,0,6,1,67,250,1,2,4930,729,32.0,101.0,15981.0,413,1645,56370,415,1518,84681,425,1412,90596,417,1525,77215,mid
71,허삼관,20150114,955679,(주)넥스트엔터테인먼트월드(NEW),드라마,12세 관람가,11846,18,0,27,10,97,226,1,4,10731,2165,37.0,53.0,7868.0,584,2684,73635,621,2687,84013,582,2646,87228,595,2672,81625,big
72,살인의뢰,20150312,855980,씨네그루(주)다우기술,범죄,청소년 관람불가,4746,0,0,6,8,62,177,0,1,8238,1486,9.0,25.0,6359.0,481,2492,80774,508,2626,88138,646,3140,187447,545,2752,118786,small
73,손님,20150709,828025,씨제이이앤엠(주),판타지,15세 관람가,73856,0,0,14,8,120,228,1,2,7780,1337,18.0,40.0,7612.0,493,2296,144967,608,2643,112763,634,2842,181557,578,2593,146429,big
74,열정같은소리하고있네,20151125,654102,(주)넥스트엔터테인먼트월드(NEW),드라마,15세 관람가,6445,3,0,22,4,52,94,0,3,8738,935,22.0,53.0,10298.0,550,2558,59737,566,2565,45872,560,2631,57470,558,2584,54359,big
75,특종: 량첸살인기,20151022,616481,롯데쇼핑㈜롯데엔터테인먼트,스릴러,15세 관람가,5544,3,0,1,1,67,170,0,3,2717,440,34.0,120.0,24712.0,776,3626,64516,767,3649,80057,743,3522,127138,762,3599,90570,big
76,서부전선,20150924,609063,롯데쇼핑㈜롯데엔터테인먼트,전쟁,12세 관람가,6398,0,0,25,6,110,169,0,3,4085,1098,10.0,18.0,4899.0,499,2120,47432,489,2155,48953,495,2018,79513,494,2097,58632,big
77,헬머니,20150305,522929,(주)넥스트엔터테인먼트월드(NEW),코미디,청소년 관람불가,3301,0,0,3,5,55,59,0,1,6556,876,12.0,18.0,3904.0,368,1901,35936,380,1968,40055,422,2052,75954,390,1973,50648,big
